Name,Author,Author Profile,Post
The Essential Guide to PHP Error Logging,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/php-error-logging
How (and Why) to Use Ruby Enumerators,Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,https://scoutapm.com/blog/ruby-enumerator
How To Detect and Prevent Memory Leaks,Emmanuel Christian,https://scoutapm.com/blog/author/emmanuel-christian,https://scoutapm.com/blog/memory-leaks
How to Identify and Debug Memory Bloat,Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,https://scoutapm.com/blog/memory-bloat
"The Top Features of Eloquent, Laravel’s ORM",Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,https://scoutapm.com/blog/laravel-eloquent-features
Types in Ruby 3: New Features Explained,Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,https://scoutapm.com/blog/ruby-3-typing
8 Crucial Database Performance Metrics,Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,https://scoutapm.com/blog/database-performance-metrics
Ractor: Ruby’s Version of the Actor Model,Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,https://scoutapm.com/blog/ruby-ractor
3 Ways to Reuse Twig Templates in Symfony,Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,https://scoutapm.com/blog/3-ways-to-reuse-twig-templates-in-symfony
Python Memory Management: The Essential Guide,Arwin Lashawn,https://scoutapm.com/blog/author/arwin-lashawn,https://scoutapm.com/blog/python-memory-management
Container Orchestration Tools Explained,Sarmad Saleem,https://scoutapm.com/blog/author/sarmad-saleem,https://scoutapm.com/blog/container-orchestration-tools-explained
Latest Ruby Versions Updated in Real Time,Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,https://scoutapm.com/blog/ruby-3-features
Python Garbage Collection: A Guide for Developers,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/python-garbage-collection
Performance Impact of Using Ruby on Rails View Partials,Pawel Urbanek,https://scoutapm.com/blog/author/pawel-urbanek,https://scoutapm.com/blog/performance-impact-of-using-ruby-on-rails-view-partials
Setting Up TailwindCSS on Laravel,Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,https://scoutapm.com/blog/tailwind-css-laravel
How to Monitor Kubernetes Applications,Sarmad Saleem,https://scoutapm.com/blog/author/sarmad-saleem,https://scoutapm.com/blog/monitoring-kubernetes
The 9 Most Popular PHP Frameworks for Developers,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/popular-php-frameworks-for-developers
A Guide to Using Nested Routes in Ruby,Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,https://scoutapm.com/blog/rails-nested-routes
How to Use Docker’s Health Check Command,Ganesh Mani,https://scoutapm.com/blog/author/ganesh-mani,https://scoutapm.com/blog/how-to-use-docker-healthcheck
Log Analysis: What Is It and How Does It Work?,Jake Stinson,https://scoutapm.com/blog/author/jake-stinson,https://scoutapm.com/blog/log-analysis-what-is-it-and-how-does-it-work
Kubernetes vs. Docker,Jeremy Hillpot,https://scoutapm.com/blog/author/jeremy-hillpot,https://scoutapm.com/blog/kubernetes-vs-docker
An Introduction to Kubernetes and Its Uses,Sarmad Saleem,https://scoutapm.com/blog/author/sarmad-saleem,https://scoutapm.com/blog/kubernetes-uses-and-introduction
Finding and Fixing N+1 Queries,Matthew Chigira,https://scoutapm.com/blog/author/matthew-chigira,https://scoutapm.com/blog/finding-and-fixing-n1-queries
Application Performance Monitoring - What is APM?,Matt Sanders,https://scoutapm.com/blog/author/matt-sanders,https://scoutapm.com/blog/application-performance-monitoring-what-is-apm
How Containerized Applications Increase Speed & Efficiency,Emmanuel Christian,https://scoutapm.com/blog/author/emmanuel-christian,https://scoutapm.com/blog/how-containerized-applications-work
Asynchronous Javascript: From Promises to Async/Await,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/async-javascript
Containers vs. VMs: Which Should You Use?,Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,https://scoutapm.com/blog/container-vs-vm
Serverless vs. Containers: Key Differences Explained,David Tidmarsh,https://scoutapm.com/blog/author/david-tidmarsh,https://scoutapm.com/blog/serverless-vs-containers
Continuous Integration vs. Continuous Deployment,Arwin Lashawn,https://scoutapm.com/blog/author/arwin-lashawn,https://scoutapm.com/blog/continuous-integration-vs-continuous-deployment
A Guide to Python Lambda Functions,Adam Johnson,https://scoutapm.com/blog/author/adam-johnson,https://scoutapm.com/blog/a-guide-to-python-lambda-functions
How to Use PHP Include and Require Statements,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/how-to-use-php-include-and-require-statements
Node.js Logging: A How-to Guide,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/nodejs-logging-a-how-to-guide
How to Enable PHP Error Reporting,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/how-to-enable-php-error-reporting
Better Python Decorators with Wrapt,Adam Johnson,https://scoutapm.com/blog/author/adam-johnson,https://scoutapm.com/blog/better-python-decorators-with-wrapt
The Most Popular Python Web Frameworks in 2021,Matt Sanders,https://scoutapm.com/blog/author/matt-sanders,https://scoutapm.com/blog/the-most-popular-python-web-frameworks-in-2020
"PHP Memory Leaks, How to Find and Fix Them",Matthew Thompson,https://scoutapm.com/blog/author/matthew-thompson,https://scoutapm.com/blog/php-memory-leaks-how-to-find-and-fix-them
How to Convert a String to a Number in PHP,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/how-to-convert-a-string-to-a-number-in-php
How to Create a Python Stack,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/how-to-create-a-python-stack
PHP Json_encode: Serialize PHP Objects to JSON,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/php-json_encode-serialize-php-objects-to-json
Node.js Architecture and 12 Best Practices for Node.js Development,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/nodejs-architecture-and-12-best-practices-for-nodejs-development
Control Structures in PHP: Loop Types Explained,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/control-structures-php
A Tour of 7 Popular Ruby Frameworks in 2021,Thomas Finch,https://scoutapm.com/blog/author/thomas-finch,https://scoutapm.com/blog/a-tour-of-7-popular-ruby-frameworks-in-2020
Go Fast: Getting Started with Sanic for Python,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/go-fast-getting-started-with-sanic-for-python
Ruby Garbage Collection | Memory Management,Dan Moore,https://scoutapm.com/blog/author/dan-moore,https://scoutapm.com/blog/ruby-garbage-collection
Programmatically Adding Laravel Middleware,PJ Hagerty,https://scoutapm.com/blog/author/pj-hagerty,https://scoutapm.com/blog/programmatically-adding-middleware-to-laravel
Elixir GenServers: Overview and Tutorial,David Tidmarsh,https://scoutapm.com/blog/author/david-tidmarsh,https://scoutapm.com/blog/elixirs-genservers-overview-and-tutorial
Tutorial: Log to Console in PHP,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/tutorial-log-to-console-in-php
Migrating from Python 2 to 3: Automated Tools and Strategies,Gautam Prajapati,https://scoutapm.com/blog/author/gautam-prajapati,https://scoutapm.com/blog/automated-tools-and-strategies-to-help-migrate-from-python-2-to-3
How to Use Lambdas in Ruby,Dan Moore,https://scoutapm.com/blog/author/dan-moore,https://scoutapm.com/blog/how-to-use-lambdas-in-ruby
"How to Find, Fix, and Prevent Node.js Memory Leaks",Ganesh Mani,https://scoutapm.com/blog/author/ganesh-mani,https://scoutapm.com/blog/nodejs-memory-leaks
Python vs. Java: Comparing Two Popular Programming Languages,Satwik Kansal,https://scoutapm.com/blog/author/satwik-kansal,https://scoutapm.com/blog/python-vs-java
A Comprehensive Guide to migrating from Python 2(Legacy) to Python 3,Gautam Prajapati,https://scoutapm.com/blog/author/gautam-prajapati,https://scoutapm.com/blog/comprehensive-guide-to-migrating-from-python-2-to-python-3
Exception Handling in Ruby,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/exception-handling-in-ruby
Python Flask Tutorial - Getting Started with Flask,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/python-flask-tutorial-getting-started-with-flask
PHP Advanced Exceptions Tutorial,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/php-advanced-exceptions-tutorial
Python vs. Ruby,Satwik Kansal,https://scoutapm.com/blog/author/satwik-kansal,https://scoutapm.com/blog/python-vs-ruby
Memory Management in Python,Pranam Lashkari,https://scoutapm.com/blog/author/pranam-lashkari,https://scoutapm.com/blog/memory-management-in-python
Python Protocol Buffers,Tim Grossman,https://scoutapm.com/blog/author/tim-grossman,https://scoutapm.com/blog/python-protocol-buffers
"Birds of a Fiber: A look at Falcon, a modern asynchronous web server for Ruby",Derek Haynes,https://scoutapm.com/blog/author/derek-haynes,https://scoutapm.com/blog/birds-of-a-fiber
Understanding Linux CPU Load - when should you be worried?,Andre Lewis,https://scoutapm.com/blog/author/andre-lewis,https://scoutapm.com/blog/understanding-load-averages
Monitoring Apdex with Scout APM,Matthew Chigira,https://scoutapm.com/blog/author/matthew-chigira,https://scoutapm.com/blog/monitoring-apdex-with-scout-apm
Understanding page faults and memory swap-in/outs: when should you worry?,Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,https://scoutapm.com/blog/understanding-page-faults-and-memory-swap-in-outs-when-should-you-worry
"How to use Mint, an awesome HTTP library for Elixir - Part 02",Minhajuddin Khaja,https://scoutapm.com/blog/author/minhajuddin-khaja,https://scoutapm.com/blog/how-to-use-mint-an-awesome-http-library-for-elixir-part-02
Understanding Heroku Error Codes with Scout APM,Matthew Chigira,https://scoutapm.com/blog/author/matthew-chigira,https://scoutapm.com/blog/understanding-heroku-error-codes-with-scout-apm
"Making sense of ActiveRecord joins, includes, preload, and eager_load",Derek Haynes,https://scoutapm.com/blog/author/derek-haynes,https://scoutapm.com/blog/activerecord-includes-vs-joins-vs-preload-vs-eager_load-when-and-where
Continuous Deployment Tools,Matthew Chigira,https://scoutapm.com/blog/author/matthew-chigira,https://scoutapm.com/blog/continuous-deployment-tools
A Primer on Ruby Yield and Blocks,Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,https://scoutapm.com/blog/ruby-yield-blocks
Identifying bottlenecks and optimizing performance in a Python codebase,Satwik Kansal,https://scoutapm.com/blog/author/satwik-kansal,https://scoutapm.com/blog/identifying-bottlenecks-and-optimizing-performance-in-a-python-codebase
Unicorn vs. Puma vs. Passenger: which app server is right for you?,Derek Haynes,https://scoutapm.com/blog/author/derek-haynes,https://scoutapm.com/blog/which-ruby-app-server-is-right-for-you
Prometheus and Docker: Monitoring Your Environment,Erik Jacobsen,https://scoutapm.com/blog/author/erik-jacobsen,https://scoutapm.com/blog/prometheus-and-docker-monitoring-your-environment
What’s new in Rails 6?,Matthew Chigira,https://scoutapm.com/blog/author/matthew-chigira,https://scoutapm.com/blog/whats-new-in-rails-6
Understanding Linux CPU stats,Derek Haynes,https://scoutapm.com/blog/author/derek-haynes,https://scoutapm.com/blog/understanding-linuxs-cpu-stats
Container Orchestration in 2019,Matthew Chigira,https://scoutapm.com/blog/author/matthew-chigira,https://scoutapm.com/blog/container-orchestration-in-2019
The danger of Rails.env.production?,Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,https://scoutapm.com/blog/the-danger-of-rails-env-production
"How to use Mint, an awesome HTTP library for Elixir - Part 01",Minhajuddin Khaja,https://scoutapm.com/blog/author/minhajuddin-khaja,https://scoutapm.com/blog/how-to-use-mint-an-awesome-http-library-for-elixir-part-01
Which Ruby background job framework is right for you?,Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,https://scoutapm.com/blog/which-ruby-background-job-framework-is-right-for-you
Free memory on Linux: free -m vs /proc/meminfo,Andre Lewis,https://scoutapm.com/blog/author/andre-lewis,https://scoutapm.com/blog/free-memory-on-linux-free-m-vs-proc-meminfo
Debugging with Rails Logger,Matthew Chigira,https://scoutapm.com/blog/author/matthew-chigira,https://scoutapm.com/blog/debugging-with-rails-logger
Building Docker Containers for our Rails Apps,Matthew Chigira,https://scoutapm.com/blog/author/matthew-chigira,https://scoutapm.com/blog/building-docker-containers-for-our-rails-apps
8 Things You Should Know About Docker Containers,Matthew Chigira,https://scoutapm.com/blog/author/matthew-chigira,https://scoutapm.com/blog/8-things-you-should-know-about-docker-containers
What you need to know about Ruby Interpreter,Derek Haynes,https://scoutapm.com/blog/author/derek-haynes,https://scoutapm.com/blog/ruby-interpreters-what-you-need-to-know
Omnibus Tutorial: Package a standalone Ruby gem,Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,https://scoutapm.com/blog/omnibus-tutorial-package-a-standalone-ruby-gem
Rails::API vs. Sinatra vs. Grape: which Ruby microframework is right for you?,Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,https://scoutapm.com/blog/rails-api-vs-sinatra-vs-grape-which-ruby-microframework-is-right-for-you
Finding slow ActiveRecord queries with Scout,Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,https://scoutapm.com/blog/finding-slow-activerecord-queries-with-scout
Part I: How not to structure your database-backed web apps,Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,https://scoutapm.com/blog/part-i-how-not-to-structure-your-database-backed-web-apps
Why put Rust in our Python Monitoring agent?,Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,https://scoutapm.com/blog/why-put-rust-in-our-python-monitoring-agent
"Setting up a Rails app for CodeBuild, CodeDeploy, and CodePipeline on AWS",Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,https://scoutapm.com/blog/setting-up-a-rails-app-for-codebuild-codedeploy-and-codepipeline-on-aws
"Restricting Process CPU Usage Using nice, cpulimit, and cgroups",Derek Haynes,https://scoutapm.com/blog/author/derek-haynes,https://scoutapm.com/blog/restricting-process-cpu-usage-using-nice-cpulimit-and-cgroups
AWS Disaster Recovery: Configuring a Read Replica and a Multi-AZ,Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,https://scoutapm.com/blog/aws-disaster-recovery-configuring-a-read-replica-and-a-multi-az
Deploying Faktory to AWS Fargate,Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,https://scoutapm.com/blog/deploying-faktory-to-aws-fargate
Deploying to AWS Part IV: Performance monitoring with Scout,Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,https://scoutapm.com/blog/deploying-to-aws-part-iv-performance-monitoring-with-scout
Tutorial: Distributed Tracing in Ruby with OpenTracing,Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,https://scoutapm.com/blog/tutorial-distributed-tracing-in-ruby-with-opentracing
Deploying a Faktory worker to AWS Fargate,Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,https://scoutapm.com/blog/deploying-a-faktory-worker-to-aws-fargate
Deploying to AWS Part I: Docker Rails Deployment,Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,https://scoutapm.com/blog/dockerizing-a-rails-app
How to Deploy a Rails App to Amazon AWS Using Fargate (Part II),Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,https://scoutapm.com/blog/deploying-to-aws-part-i-running-a-rails-app-on-fargate
A tour of Python monitoring tools,Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,https://scoutapm.com/blog/a-tour-of-python-monitoring-tools
Deploying to AWS Part III: Log aggregation,Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,https://scoutapm.com/blog/deploying-to-aws-part-iii-log-aggregation
Proper Python Instrumentation: 5 Things to Keep In Mind,Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,https://scoutapm.com/blog/python-instrumentation
